id,date,dayOfWeek,artist,city,state,venue,attendedWith,hasPoster,setlistLink,tourName,openingActs,notes
72,2022-02-22,Tuesday,Tool,Washington DC,DC,Capital One Arena,Josh R.,Yes,https://www.setlist.fm/setlist/tool/2022/capital-one-arena-washington-dc-4b885f0e.html,Fear Inoculum Tour,The Acid Helps,
73,2022-03-11,Friday,Korn,Greensboro,NC,Greensboro Coliseum,"Josh R., Bill B.",No,https://www.setlist.fm/setlist/korn/2022/greensboro-coliseum-complex-greensboro-nc-1b89f108.html,2022 World Tour,Chevelle,
74,2022-03-20,Sunday,Tool,Cleveland,OH,Rocket Mortgage Fieldhouse,Josh R.,Yes,https://www.setlist.fm/setlist/tool/2022/rocket-mortgage-fieldhouse-cleveland-oh-33892099.html,Fear Inoculum Tour,The Acid Helps,
75,2022-04-28,Thursday,Nine Inch Nails,Raleigh,NC,Red Hat Amphitheater,Josh R.,Yes,https://www.setlist.fm/setlist/nine-inch-nails/2022/red-hat-amphitheater-raleigh-nc-7bb66208.html,NIN 2022 Tour,Boy Harsher,
76,2022-05-20,Friday,Lunatic Luau Festival,Virginia Beach,VA,Veterans United Home Loans Amphitheater,Rojer Frazier,No,https://www.setlist.fm/search?query=Lunatic+Luau+05%2F20%2F2022,Lunatic Luau 2022,"Disturbed, The Pretty Reckless, Living Colour, Dirty Honey, Bad Wolves, Ayron Jones",
77,2022-06-22,Wednesday,Puscifer,Durham,NC,DPAC,Josh R.,Yes,https://www.setlist.fm/setlist/puscifer/2022/durham-performing-arts-center-durham-nc-73b5ba69.html,Existential Reckoning Tour 2022,Moodie Black,
78,2022-07-31,Sunday,Rage Against the Machine,Raleigh,NC,PNC Arena,"Justin L., Brenton S., Bill B.",Yes,https://www.setlist.fm/setlist/rage-against-the-machine/2022/pnc-arena-raleigh-nc-53b213d9.html,Public Service Announcement Tour,Run the Jewels,
79,2022-08-18,Thursday,Roger Waters,Raleigh,NC,PNC Arena,Jim A.,No,https://www.setlist.fm/setlist/roger-waters/2022/pnc-arena-raleigh-nc-4bb3cb62.html,This Is Not a Drill Tour,,
80,2022-08-31,Sunday,Rammstein,Philadelphia,PA,Lincoln Financial Field,Josh R.,Yes,https://www.setlist.fm/setlist/rammstein/2022/lincoln-financial-field-philadelphia-pa-6bb3422e.html,2022 North American Stadium Tour,ABÉLARD,
81,2022-09-27,Tuesday,Alice in Chains,Raleigh,NC,Coastal Credit Union Music Park at Walnut Creek,Bill B.,No,https://www.setlist.fm/setlist/alice-in-chains/2022/coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-3bb1a468.html,2022 North American Tour,Breaking Benjamin,Co-headline with Breaking Benjamin
82,2022-11-01,Tuesday,Puscifer,Charlotte,NC,Ovens Auditorium,Josh R.,Yes,https://www.setlist.fm/setlist/puscifer/2022/ovens-auditorium-charlotte-nc-7bbedaa8.html,Existential Reckoning: Re-Wired Tour,Night Club,
83,2023-05-21,Sunday,Welcome To Rockville Festival - Day 4,Daytona,FL,Daytona Speedway,Bill B.,Yes,https://www.setlist.fm/search?query=Welcome+To+Rockville+Festival+05%2F18%2F2023,Welcome to Rockville 2023,"Tool, Deftones, Incubus, The Mars Volta, Coheed & Cambria, Pennywise, Ghostemane, grandson, Sueco, Filter, Deafheaven, Anti-Flag, Senses Fail, New Years Day, Nothing,Nowhere, Angel Dust, Nova Twins, Point North, Bob Vylan, Capital Theatre, Uncured, Reddstar",
84,2023-08-04,Friday,Metallica,East Rutherford,NJ,Metlife Stadium,Josh R.,Yes,https://www.setlist.fm/setlist/metallica/2023/metlife-stadium-east-rutherford-nj-5ba47f00.html,M72 World Tour,"Pantera, Mammoth",
85,2023-09-07,Thursday,Blue Ridge Rock Festival,Danville,VA,Virginia International Raceway,Bill B.,No,https://www.setlist.fm/search?query=Blue+Ridge+Rock+Festival+09%2F07%2F2023,Blue Ridge Rock Fest 2023,"Slipknot, Danzig, Motionless in White, Sleep Token, Knocked Loose, Lorna Shore, Polyphia, Testament, VV, Electric Callboy, Coal Chamber, Flyleaf, The Black Dahlia Murder, Job For Cowboy, After The Burial, Woe Is Me, Like Moths to Flames, The Acacia Strain, Of Mice & Men, Chelsea Grin, Catch Your Breath, Black S. Cherry, Upon A Burning Body, Afterlife, Struggle Jennings, Angelmaker, Crown the Empire, Conquer Divide, TrustCompany, Savage Hands, Demun Jones, Archers, Starbenders, Oliver Anthony",Blue Ride Disaster Shitshow: https://digitalbeatmag.com/a-2023-blue-ridge-rock-fest-review/
86,2023-10-14,Saturday,U2,Las Vegas,NV,Sphere,"Dan R., Chris S., Len E.",Yes,https://www.setlist.fm/setlist/u2/2023/sphere-at-the-venetian-resort-las-vegas-nv-5ba34ff0.html,U2:UV Achtung Baby Live at Sphere,,
87,2023-10-29,Sunday,Polyphia,Raleigh,NC,The Ritz,Josh R.,Yes,https://www.setlist.fm/setlist/polyphia/2023/the-ritz-raleigh-nc-73a00ec9.html,Remember That You Will Die Tour 2023,DOMi + JD Beck,
88,2023-11-09,Thursday,Eagles,Raleigh,NC,PNC Arena,Bill B.,Yes,https://www.setlist.fm/setlist/eagles/2023/pnc-arena-raleigh-nc-43a18703.html,The Long Goodbye,The Doobie Brothers,
89,2023-11-17,Friday,Bush,Durham,NC,DPAC,Lily K.,No,https://www.setlist.fm/setlist/bush/2023/durham-performing-arts-center-durham-nc-2ba108e6.html,The Art of Survival Tour,"Bad Wolves, Eva Under Fire",
90,2024-01-21,Sunday,Tool,Charlotte,NC,Spectrum Center,"Josh R., Bill B.",Yes,https://www.setlist.fm/setlist/tool/2024/spectrum-center-charlotte-nc-3ac9973.html,Fear Inoculum Tour (2024 leg),Elder,
91,2024-02-18,Sunday,Tool,Las Vegas,NV,T-Mobile Arena,Dana K.,Yes,https://www.setlist.fm/setlist/tool/2024/t-mobile-arena-las-vegas-nv-bad819e.html,Fear Inoculum Tour (2024 leg),Elder,
92,2024-03-29,Friday,Avenged Sevenfold,Raleigh,NC,Lenovo Center,Bill B.,No,https://www.setlist.fm/setlist/avenged-sevenfold/2024/pnc-arena-raleigh-nc-1babb504.html,Life Is But a Dream... Tour,Poppy,
93,2024-04-07,Sunday,Sessanta,Raleigh,NC,Coastal Credit Union Music Park at Walnut Creek,Bill B.,Yes,https://www.setlist.fm/setlist/a-perfect-circle-puscifer-and-primus/2024/coastal-credit-union-music-park-at-walnut-creek-raleigh-nc-4babf382.html,Sessanta,,
94,2024-05-16,Thursday,Sonic Temple Festival,Columbus,OH,Historic Crew Stadium,Bill B.,Yes,https://www.setlist.fm/search?query=Sonic+Temple+Festival+05%2F16%2F2024,Sonic Temple 2024,"Disturbed, Evanescence, Mudvayne, Theory of a Deadman, P.O.D., Drowning Pool, Nita Strauss, Judas Priest, Kerry King, The Ghost Inside, Nova Twins, Taipei Houston, Bob Vylan, Tim Montana, Cypress Hill, Electric Callboy, Enter Shikari, The Chats, Magnolia Park, TX2, Lø Spirit, Machine Head, August Burns Red, Frank Carter & The Rattlesnakes, Fire from the Gods, Miss May I, Catch Your Breath, SiM, HotBox",
95,2024-05-17,Friday,Sonic Temple Festival,Columbus,OH,Historic Crew Stadium,Bill B.,Yes,https://www.setlist.fm/search?query=Sonic+Temple+Festival+05%2F16%2F2024,Sonic Temple 2024,"The Original Misfits, Falling in Reverse, Seether, Anthrax, Dirty Honey, Nonpoint, Point North, Rise Against, Sum 41, Black Veil Brides, Movements, Terror, Scowl, Gel, Code Orange, Mr. Bungle, Drain, Militarie Gun, Rain City Drive, The Chisel, Gideon, Avatar, Atreyu, Soulfly, Kublai Khan TX, New Years Day, Fleshwater, I See Stars, Fuming Mouth",
